ScoreRank,Country,Deals,DealsRank,Filings,FilingsRank,Jobs,JobsRank,Patents,PatentsRank,Score,Region
52,Croatia,1.01,64,1.07,70,1.01,52,1,54,3.956,Europe
53,Argentina,1.02,52,1.24,39,1.03,38,1,55,3.922,Latin America and Caribbean
54,Ukraine,1.02,53,1.09,59,1.03,39,1,56,3.904,Europe
55,Russia,1.06,28,1.72,18,1.02,46,1.14,6,3.899,Europe
56,Serbia,1.01,65,1.06,74,1,68,1,57,3.856,Europe
57,Chile,1.03,40,1.24,40,1.01,53,1,58,3.842,Latin America and Caribbean
58,South Africa,1.06,29,1.48,25,1.04,32,1.01,18,3.839,Africa
59,Costa Rica,1.01,66,1.05,81,1.02,47,1,59,3.773,Latin America and Caribbean
60,Greece,1.02,54,1.15,50,1.01,54,1,60,3.763,Europe
61,Morocco,1.01,67,1.08,65,1,69,1,61,3.74,Africa
62,Oman,1.01,68,1.09,60,1,70,1,62,3.731,Middle East
63,Kenya,1.02,55,1.12,56,1.01,55,1,63,3.718,Africa
64,North Macedonia,1,133,1.01,114,1,71,1,64,3.716,Europe
65,Azerbaijan,1.01,69,1.01,115,1,72,1,65,3.609,Asia-Pacific
66,Kuwait,1.01,70,1.14,52,1,73,1,66,3.606,Middle East
67,Colombia,1.02,56,1.24,41,1.01,56,1,67,3.587,Latin America and Caribbean
68,Iran,1.01,71,1.04,87,1,74,1,68,3.572,Middle East
69,Egypt,1.02,57,1.18,46,1.01,57,1,69,3.542,Africa
70,Tunisia,1.01,72,1.02,105,1,75,1,70,3.534,Africa
71,Jordan,1.01,73,1.01,116,1,76,1,71,3.517,Middle East
72,Uruguay,1.01,74,1.04,88,1,77,1,72,3.445,Latin America and Caribbean
73,Montenegro,1.01,75,1.01,117,1,78,1,73,3.424,Europe
74,Moldova,1.01,76,1.02,106,1,79,1,74,3.4,Europe
75,Senegal,1.01,77,1.04,89,1,80,1,75,3.338,Africa
76,Armenia,1.01,78,1.01,118,1,81,1,76,3.336,Asia-Pacific
77,Bahrain,1.01,79,1.09,61,1,82,1,77,3.32,Middle East
78,Panama,1.01,80,1.06,75,1,83,1,78,3.277,Latin America and Caribbean
79,Sri Lanka,1.01,81,1.09,62,1.01,58,1,79,3.266,Asia-Pacific
80,Ecuador,1.01,82,1.05,82,1,84,1,80,3.244,Latin America and Caribbean
81,Kazakhstan,1.01,83,1.07,71,1,85,1,81,3.203,Asia-Pacific
82,Peru,1.01,84,1.15,51,1.01,59,1,82,3.186,Latin America and Caribbean
83,Tanzania,1.01,85,1.07,72,1,86,1,83,3.152,Africa
84,Mauritius,1.01,86,1.08,66,1,87,1,84,3.127,Africa
85,Ghana,1.01,87,1.08,67,1,88,1,85,3.098,Africa
86,Bosnia and Herzegovina,1.01,88,1.01,119,1,89,1,86,3.088,Europe
87,Rwanda,1.01,89,1.02,107,1,90,1,87,3.036,Africa
88,Dominican Republic,1.01,90,1.02,108,1,91,1,88,2.883,Latin America and Caribbean
89,Albania,1.01,91,1.02,109,1.01,60,1,89,2.801,Europe
90,Georgia,1.01,92,1,133,1,92,1,90,2.765,Asia-Pacific
91,Cape Verde,1.01,93,1.01,120,1,93,1,91,2.765,Africa
92,Bangladesh,1.01,94,1.14,53,1,94,1,92,2.755,Asia-Pacific
93,Uganda,1.01,95,1.04,90,1,95,1,93,2.745,Africa
94,Paraguay,1.01,96,1.01,121,1,96,1,94,2.687,Latin America and Caribbean
95,Jamaica,1.01,97,1.04,91,1,97,1,95,2.684,Latin America and Caribbean
96,Zimbabwe,1.01,98,1.04,92,1,98,1,96,2.683,Africa
97,Algeria,1.01,99,1.04,93,1,99,1,97,2.679,Africa
98,Mongolia,1.01,100,1.04,94,1,100,1,98,2.677,Asia-Pacific
99,El Salvador,1.01,101,1.01,122,1,101,1,99,2.648,Latin America and Caribbean
100,Trinidad and Tobago,1.01,102,1.01,123,1,102,1,100,2.622,Latin America and Caribbean
101,Botswana,1.01,103,1.06,76,1,103,1,101,2.614,Africa
102,Cambodia,1.01,104,1.17,48,1,104,1,102,2.551,Asia-Pacific
103,Namibia,1.01,105,1.09,63,1,105,1,103,2.546,Africa
104,Kyrgyzstan,1.01,106,1,134,1,106,1,104,2.543,Asia-Pacific
105,Guatemala,1.01,107,1.03,96,1,107,1,105,2.511,Latin America and Caribbean
106,Nepal,1.01,108,1.05,83,1,108,1,106,2.474,Asia-Pacific
107,Mali,1.01,109,1.06,77,1,109,1,107,2.468,Africa
108,Malawi,1.01,110,1.02,110,1,110,1,108,2.467,Africa
109,Nigeria,1.03,41,1.13,55,1,111,1,109,2.416,Africa
110,Burkina Faso,1.01,111,1.03,97,1,112,1,110,2.411,Africa
111,Ivory Coast,1,134,1.01,124,1,113,1,111,2.399,Africa
112,Zambia,1.01,112,1.05,84,1,114,1,112,2.386,Africa
113,Cameroon,1.01,113,1.03,98,1,115,1,113,2.373,Africa
114,Guinea,1.01,114,1.03,99,1,116,1,114,2.351,Africa
115,Madagascar,1.01,115,1.03,100,1,117,1,115,2.35,Africa
116,Pakistan,1.02,58,1.11,58,1.01,61,1,116,2.347,Asia-Pacific
117,Bolivia,1.01,116,1.01,125,1,118,1,117,2.329,Latin America and Caribbean
118,Laos,1.01,117,1.08,68,1,119,1,118,2.318,Asia-Pacific
119,Belarus,1.02,59,1.03,101,1.01,62,1,119,2.285,Europe
120,Ethiopia,1.01,118,1.02,111,1,120,1,120,2.282,Africa
121,Benin,1.01,119,1.02,112,1,121,1,121,2.275,Africa
122,Mozambique,1.01,120,1.06,78,1,122,1,122,2.235,Africa
123,Honduras,1.01,121,1.01,126,1,123,1,123,2.232,Latin America and Caribbean
124,Lebanon,1.01,122,1.08,69,1,124,1,124,2.107,Middle East
125,Angola,1.01,123,1.03,102,1,125,1,125,2.103,Africa
126,Tajikistan,1.01,124,1.01,127,1,126,1,126,2.024,Asia-Pacific
127,Gambia,1.01,125,1.01,128,1,127,1,127,1.986,Africa
128,Venezuela,1.01,126,1.03,103,1,128,1,128,1.749,Latin America and Caribbean
129,DR Congo,1.01,127,1.01,129,1,129,1,129,1.64,Africa
130,Burundi,1.01,128,1.01,130,1,130,1,130,1.609,Africa
131,Lesotho,1.01,129,1.04,95,1,131,1,131,1.548,Africa
132,Eswatini,1.01,130,1.01,131,1,132,1,132,1.511,Africa
133,Yemen,1.01,131,1.01,132,1,133,1,133,1.471,Middle East
134,Chad,1.01,132,1.02,113,1,134,1,134,1.319,Africa
